City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
167,Garowe,SO,74.01,broken clouds,8.4054,48.4845,Curubo Hotel
169,Srandakan,ID,75.54,broken clouds,-7.9386,110.2506,Puri Brata
171,Puranpur,IN,77.31,scattered clouds,28.5167,80.15,Randhawa Residency
173,Kirakira,SB,81.0,overcast clouds,-10.4544,161.9205,SanBiz Lodge
176,Shenjiamen,CN,78.57,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
177,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
178,Jaumave,MX,84.56,overcast clouds,23.4167,-99.3833,HOTEL CIENEGA
179,Cabadiangan,PH,78.71,overcast clouds,9.7531,122.4739,Kipot
182,Ortigueira,BR,70.09,overcast clouds,-24.2083,-50.9494,Village das Araucárias
187,Los Llanos De Aridane,ES,74.12,broken clouds,28.6585,-17.9182,Valle Aridane
188,Caldas,CO,72.32,overcast clouds,6.0911,-75.6357,Hotel Plaza Garibaldi
191,Matamoros,MX,84.31,broken clouds,25.5333,-103.25,Quinta Belem
194,Hithadhoo,MV,80.73,broken clouds,-0.6,73.0833,Scoop Guest House
196,Jalu,LY,83.55,clear sky,29.0331,21.5482,صاحبة الفخامة
198,Ambilobe,MG,66.47,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
206,Den Helder,NL,69.78,broken clouds,52.9599,4.7593,Hotel Den Helder
209,Kutum,SD,79.32,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
211,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
213,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
219,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
222,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
223,Brokopondo,SR,84.33,overcast clouds,4.75,-55.1667,Matu Island
225,Saint Anthony,US,89.29,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
226,Bengkulu,ID,74.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
227,Southbridge,US,78.26,clear sky,42.0751,-72.0334,Southbridge Hotel & Conference Center
229,Sterling,US,88.34,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
230,Carutapera,BR,79.27,clear sky,-1.195,-46.02,Lidera
232,La Rochelle,FR,68.07,few clouds,46.1667,-1.15,Hotel Henri IV
234,Itoman,JP,79.57,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
237,Kijang,KR,73.13,moderate rain,35.2442,129.2139,Samyang Beach Villa
240,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
242,Palmer,US,78.55,few clouds,42.1584,-72.3287,Wedgewood Motel
243,Pizarro,CO,79.99,broken clouds,4.9533,-77.366,Hotel Limonar
245,Atuona,PF,77.09,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
248,Pasni,PK,79.48,broken clouds,25.2631,63.471,Kashmiri Hotal
249,Antalaha,MG,68.79,few clouds,-14.9003,50.2788,Hotel Vitasoa
250,Karratha,AU,67.19,light rain,-20.7377,116.8463,ibis Styles Karratha
252,Grand-Santi,GF,80.49,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
253,Gambela,ET,68.97,moderate rain,8.25,34.5833,Solomon Debebe Hotel
255,Misratah,LY,81.61,clear sky,32.3754,15.0925,Almasa Hotel
256,Mareeba,AU,71.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
261,Balykshi,KZ,77.0,mist,47.0667,51.8667,Гостиница Golden Rose
262,San Quintin,MX,82.69,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
263,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
264,Katsuura,JP,76.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
265,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
267,Ko Samui,TH,82.69,overcast clouds,9.5357,99.9357,The Passage
269,Shepsi,RU,76.86,broken clouds,44.0361,39.1489,Otel' Chayka
270,Rafraf,TN,82.71,broken clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
271,Fortuna,US,66.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Ereymentau,KZ,70.86,scattered clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
274,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
275,Am Timan,TD,69.96,heavy intensity rain,11.0297,20.2827,Palais du chef Canton Salamt
277,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
280,Pilar,BR,73.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
281,Senneterre,CA,78.84,broken clouds,48.3835,-77.2328,Motel Senabi
284,Manokwari,ID,79.45,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
288,La Cruz,MX,88.45,overcast clouds,23.9167,-106.9,Jesús angel
291,Longhua,CN,70.43,clear sky,23.6137,114.1919,Huadu Hotel
293,Narasapur,IN,79.54,few clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
294,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
295,Celestun,MX,81.7,overcast clouds,20.8667,-90.4,Posada Lilia
297,Axim,GH,74.16,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
300,Moose Factory,CA,85.98,clear sky,51.2585,-80.6094,Moosonee Lilypad
301,La Esperanza,GT,66.92,broken clouds,14.8667,-91.5667,Posada Don Teco
303,Tautira,PF,77.56,scattered clouds,-17.7333,-149.15,Pension Oaoa
304,Traverse City,US,86.11,broken clouds,44.7631,-85.6206,Bayshore Resort
307,Magdalena,PH,73.35,heavy intensity rain,14.1999,121.429,Samparada & Gestiada Residences
308,Angoche,MZ,70.52,clear sky,-16.2325,39.9086,Guest House HESADA
309,Jibuti,DJ,81.73,clear sky,11.5,42.5,Orchid Main Camp Goubet
310,Chaozhou,CN,75.06,clear sky,23.6651,116.6379,Seven Corner View Homestay
313,Elliot Lake,CA,78.62,broken clouds,46.3834,-82.6331,Paris Plaza
315,Phuket,TH,86.13,moderate rain,8.0,98.25,The Surin
317,Atar,MR,84.67,overcast clouds,20.5169,-13.0499,Oumou Elghoura
318,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Dariba,IN,77.76,broken clouds,24.95,74.1333,JDO Hostel
320,Tabou,CI,74.88,few clouds,4.423,-7.3528,hotêl doufoulougou
327,Katherine,AU,71.92,clear sky,-14.4667,132.2667,Pine Tree Motel
328,Onalaska,US,86.29,few clouds,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
329,Balkanabat,TM,88.54,clear sky,39.5108,54.3671,Nebitchi Hotel
331,Weinan,CN,68.11,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
332,Hami,CN,70.2,clear sky,42.8,93.45,Laoyutang Resort
333,Dingle,PH,76.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
336,Nizwa,OM,82.42,scattered clouds,22.9333,57.5333,Orient Apartments
339,Hobyo,SO,75.4,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
343,Palu,ID,74.77,broken clouds,-0.8917,119.8707,Hotel Santika Palu
346,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
348,Praia,CV,77.54,light rain,14.9215,-23.5087,LT Aparthotel
352,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
353,San Lawrenz,MT,78.85,overcast clouds,36.0553,14.204,San Andrea Hotel
354,Pundaguitan,PH,82.96,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
355,Pangkalanbuun,ID,73.58,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
356,Morondava,MG,69.35,few clouds,-20.2833,44.2833,La Case Bambou
363,Zomin,UZ,70.86,clear sky,39.9606,68.3958,Jizzax
372,Honiara,SB,81.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
374,Kudahuvadhoo,MV,81.97,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
375,Shingu,JP,77.27,few clouds,33.7333,135.9833,Shingu UI Hotel
377,Villa Del Rosario,CO,84.58,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
380,Wanning,CN,78.58,overcast clouds,18.8003,110.3967,Paradise Hotel
381,Macklin,CA,82.74,clear sky,52.3334,-109.9348,Macklin Motor Inn
382,Wajima,JP,73.44,light rain,37.4,136.9,Wajiima Onsen Yashio
383,Aklavik,CA,66.2,few clouds,68.2191,-135.0107,Aklavik Inn
387,Alenquer,BR,85.91,overcast clouds,-1.9417,-54.7383,Detinha Hotel
388,Waingapu,ID,76.26,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
389,Shieli,KZ,80.38,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
390,Caravelas,BR,69.84,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
393,Ambon,ID,76.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
394,Kishi,NG,69.82,overcast clouds,9.0833,3.85,New NCCF KISI
395,Matay,EG,81.57,clear sky,28.419,30.7792,Nag Aespen
